T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1500000     -1.6097313      1.1389153     0.83572394      1.8009122     0.83572394
      2.1600000     -1.5979450      1.1874792     0.82724298      2.1762367     0.82724298
      2.1700000     -1.5861217      1.2348341     0.81858792      2.5098740     0.81858792
      2.1800000     -1.5733093      1.2823380     0.80816066      3.1265874     0.80816066
      2.1900000     -1.5604787      1.3491650     0.79743439      3.8079722     0.79743439
      2.2000000     -1.5465899      1.4048517     0.78494241      4.6415866     0.78494241
      2.2100000     -1.5317397      1.5319036     0.76835741      9.9208988     0.76835741
      2.2200000     -1.5163604      1.5799714     0.75314813      9.2306516     0.75314813
      2.2300000     -1.4997497      1.7163156     0.73142342      13.992206     0.73142342
      2.2400000     -1.4827577      1.8208099     0.70790864      22.216032     0.70791052
      2.2500000     -1.4639642      1.9636887     0.40687156      34.600677     0.67631493
      2.2600000     -1.4413201      2.2852343    -0.28188427      76.153574     0.62029263
      2.2700000     -1.4182722      2.4275988   -0.030372507      100.51880     0.56353690
      2.2800000     -1.3932295      2.3932136    0.092005962      129.47935     0.48445068
      2.2900000     -1.3707786      2.3653198    0.022723389      150.28668     0.41325598
      2.3000000     -1.3489797      2.1168205   0.0029849826      138.71465     0.34030184
      2.3100000     -1.3272613      1.8013264    0.048662486      117.35107     0.26189631
      2.3200000     -1.3107450      1.6855639   -0.026126570      96.907502     0.23343419
      2.3300000     -1.2949600      1.5367987   -0.013311485      75.060027     0.20114785
      2.3400000     -1.2795168      1.4435516  -0.0049460622      62.743353     0.17009110
      2.3500000     -1.2653755      1.3732825  0.00056007100      49.361502     0.15081497
      2.3600000     -1.2522953      1.3213172   0.0029003534      42.324661     0.13727289
