T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1500000     -1.6096932      1.1360043     0.83570773      1.8218405     0.83570773
      2.1600000     -1.5980704      1.1988062     0.82726852      2.3385405     0.82726852
      2.1700000     -1.5864257      1.2275925     0.81895529      2.3557875     0.81895529
      2.1800000     -1.5733259      1.2853183     0.80833670      2.9499316     0.80833670
      2.1900000     -1.5603693      1.3359391     0.79765086      3.6616581     0.79765086
      2.2000000     -1.5467774      1.4097751     0.78571770      4.3705080     0.78571770
      2.2100000     -1.5319266      1.5269609     0.76906751      7.8968826     0.76908875
      2.2200000     -1.5160788      1.5957674     0.27509576      8.8713700     0.75251305
      2.2300000     -1.5005970      1.7142348     0.52323404      14.373242     0.73228315
      2.2400000     -1.4832109      1.7831010     0.26654826      14.861877     0.71171504
      2.2500000     -1.4639204      1.9096922   -0.063989567      22.642971     0.67951380
      2.2600000     -1.4449175      2.0544139    0.087343912      28.925687     0.64862926
      2.2700000     -1.4225162      2.2002872   -0.040015177      44.091597     0.59965886
      2.2800000     -1.4023295      2.1840016     0.13732171      47.182692     0.56246621
      2.2900000     -1.3782360      2.2471021  -0.0054483722      60.856752     0.49707188
      2.3000000     -1.3588337      2.1450923   0.0058134622      62.260806     0.45609982
      2.3100000     -1.3359468      1.9924851    0.028165261      60.269854     0.39863484
      2.3200000     -1.3167917      1.8150050   -0.063317369      57.420402     0.35106499
      2.3300000     -1.3011759      1.7145094  -0.0034201633      54.268798     0.32263226
      2.3400000     -1.2833781      1.5670561  -0.0055582611      46.729356     0.27957966
