T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1500000     -1.6085875      1.1621099     0.17119052      1.8974277     0.83371236
      2.1600000     -1.5971206      1.1886343   -0.063226695      2.1298959     0.82557605
      2.1700000     -1.5861046      1.2161538     0.19242302      2.1986666     0.81886921
      2.1800000     -1.5736145      1.2547433   -0.031240430      2.4108559     0.80979541
      2.1900000     -1.5600614      1.3081838   0.0077810850      2.7677302     0.79890726
      2.2000000     -1.5474634      1.3422515    0.070280625      3.1032771     0.78878071
      2.2100000     -1.5358850      1.3714395    -0.14317979      3.2786790     0.78022503
      2.2200000     -1.5196770      1.4327485     0.10982727      3.8981115     0.76460059
      2.2300000     -1.5061535      1.4627510    0.076424395      4.1707076     0.75391316
      2.2400000     -1.4910571      1.5049435   -0.060031675      4.6638556     0.73913542
      2.2500000     -1.4758784      1.5425204   -0.025742565      5.0722077     0.72516702
      2.2600000     -1.4595939      1.5825394   -0.058426150      5.6139059     0.70860123
      2.2700000     -1.4418527      1.6350480   0.0011210400      6.4012492     0.68824503
      2.2800000     -1.4263213      1.6557043    0.048015620      6.8569586     0.67164401
      2.2900000     -1.4102514      1.6491116   -0.027240220      7.1882175     0.65520801
      2.3000000     -1.3936043      1.6672633   -0.027062675      7.5625434     0.63735219
      2.3100000     -1.3768311      1.6707835    0.028800875      7.9719288     0.61823637
      2.3200000     -1.3594637      1.6578663   -0.051028430      8.2419309     0.59852376
      2.3300000     -1.3470821      1.6531689    0.028460140      8.4408413     0.58657021
      2.3400000     -1.3278633      1.6269228   0.0099023950      8.6744042     0.56263014
      2.3500000     -1.3141494      1.5975938    0.018450840      8.7783848     0.54764412
      2.3600000     -1.2963726      1.5833614    0.011313945      9.1002673     0.52371174
