T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1500000     -1.6097905      1.1386845     0.83575372      1.8147856     0.83575372
      2.1600000     -1.5982943      1.1803184     0.82776380      2.0917014     0.82776380
      2.1700000     -1.5860455      1.2337619     0.81834831      2.5711443     0.81834831
      2.1800000     -1.5734210      1.2984592     0.80822084      3.3196103     0.80822084
      2.1900000     -1.5606143      1.3412076     0.79796097      3.5682411     0.79796097
      2.2000000     -1.5464625      1.4150240     0.78454074      5.4686603     0.78454074
      2.2100000     -1.5319605      1.5041949     0.77003509      6.6607945     0.77003509
      2.2200000     -1.5165818      1.5638869     0.75409699      7.9344230     0.75409699
      2.2300000     -1.5003212      1.6894113     0.73393225      12.630815     0.73393225
      2.2400000     -1.4824815      1.8392009     0.70664684      24.271594     0.70664684
      2.2500000     -1.4642860      1.9979482     0.67857285      32.366215     0.67857285
      2.2600000     -1.4424459      2.2458963    -0.48005346      74.319686     0.62755737
      2.2700000     -1.4142894      2.6983391    0.050284117      242.85616     0.51230307
      2.2800000     -1.3889200      2.5784221    0.044422180      268.55845     0.41512066
      2.2900000     -1.3652447      2.3310193    0.026484449      276.31314     0.31638567
      2.3000000     -1.3454958      2.0268725  -0.0035746276      217.57821     0.25967089
      2.3100000     -1.3266176      1.7720758    0.050842336      155.75347     0.20712787
      2.3200000     -1.3093908      1.6202108  -0.0039268819      109.74711     0.16168223
      2.3300000     -1.2937841      1.4872217  -0.0035054914      78.950450     0.13088025
      2.3400000     -1.2792400      1.4351491  -0.0057454899      64.447992     0.12153113
      2.3500000     -1.2654927      1.3628517   -0.010378061      50.903636     0.10708123
      2.3600000     -1.2522587      1.2976135   0.0039564221      43.658411    0.099638633
