T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9956720    0.034549050    -0.13619927   0.0043196719     0.99855733
      1.0000000     -1.9956749    0.034526168    -0.13970933   0.0043122228     0.99855906
      1.0000000     -1.9956096    0.035046301    -0.13367075   0.0043524043     0.99854144
      1.0000000     -1.9955997    0.035125161    -0.12988813   0.0043514296     0.99853995
      1.0000000     -1.9956210    0.034955033    -0.13209034   0.0043284207     0.99854736
      1.0000000     -1.9956331    0.034858679    -0.13112544   0.0043430939     0.99854693
      1.0000000     -1.9956752    0.034523188    -0.12168068   0.0042969941     0.99856166
      1.0000000     -1.9956565    0.034672612    -0.12416660   0.0043265825     0.99855359
      1.0000000     -1.9956382    0.034818638    -0.13013394   0.0043491642     0.99854676
      1.0000000     -1.9956746    0.034528225    -0.13990354   0.0043128924     0.99855890
      1.0000000     -1.9956896    0.034409010    -0.14300695   0.0043062873     0.99856251
      1.0000000     -1.9956797    0.034487947    -0.14131680   0.0043365304     0.99855580
      1.0000000     -1.9956943    0.034371762    -0.13910292   0.0043176951     0.99856138
      1.0000000     -1.9956605    0.034640725    -0.14208681   0.0043351324     0.99855283
      1.0000000     -1.9956750    0.034525389    -0.14194563   0.0043285719     0.99855634
      1.0000000     -1.9957048    0.034287612    -0.14855488   0.0042967551     0.99856664
      1.0000000     -1.9957147    0.034209244    -0.14179135   0.0042752403     0.99857188
      1.0000000     -1.9957205    0.034163065    -0.14828128   0.0042790623     0.99857221
      1.0000000     -1.9956919    0.034390181    -0.14162247   0.0043111789     0.99856208
      1.0000000     -1.9956979    0.034343109    -0.14167550   0.0042976703     0.99856533
      1.0000000     -1.9957074    0.034267321    -0.13854896   0.0042937286     0.99856757
      1.0000000     -1.9957204    0.034163670    -0.13288098   0.0042769950     0.99857254
      1.0000000     -1.9957258    0.034120201    -0.12782602   0.0042642186     0.99857558
      1.0000000     -1.9957420    0.033991197    -0.12116223   0.0042462991     0.99858128
      1.0000000     -1.9957257    0.034121320    -0.11606568   0.0042715395     0.99857434
      1.0000000     -1.9957239    0.034135985    -0.11927632   0.0042573970     0.99857639
      1.0000000     -1.9957291    0.034094418    -0.11832317   0.0042558044     0.99857753
      1.0000000     -1.9957203    0.034164494    -0.11653103   0.0042663700     0.99857430
      1.0000000     -1.9957392    0.034013591    -0.12159586   0.0042527075     0.99857974
      1.0000000     -1.9957612    0.033838246    -0.12748571   0.0042375973     0.99858594
      1.0000000     -1.9957558    0.033881781    -0.12999306   0.0042514251     0.99858272
      1.0000000     -1.9957638    0.033817656    -0.12279722   0.0042382472     0.99858626
      1.0000000     -1.9957784    0.033701714    -0.12086646   0.0042269759     0.99859058
      1.0000000     -1.9957795    0.033692809    -0.12761187   0.0042323218     0.99858987
      1.0000000     -1.9957675    0.033788124    -0.12857278   0.0042342897     0.99858754
      1.0000000     -1.9957720    0.033752833    -0.13178154   0.0042427165     0.99858688
      1.0000000     -1.9957924    0.033590312    -0.12927985   0.0042189935     0.99859424
      1.0000000     -1.9958124    0.033430566    -0.12590052   0.0041909114     0.99860228
      1.0000000     -1.9957974    0.033550010    -0.11969787   0.0041947325     0.99859914
      1.0000000     -1.9958046    0.033492982    -0.11497916   0.0041829165     0.99860231
      1.0000000     -1.9957651    0.033807636    -0.11709016   0.0042176609     0.99858991
      1.0000000     -1.9957908    0.033602357    -0.12172929   0.0041874588     0.99859926
      1.0000000     -1.9958009    0.033521991    -0.12322776   0.0041744757     0.99860311
      1.0000000     -1.9957927    0.033587610    -0.13017816   0.0041752652     0.99860160
      1.0000000     -1.9957876    0.033628252    -0.12812477   0.0041880348     0.99859862
      1.0000000     -1.9957975    0.033549608    -0.12620402   0.0041798179     0.99860164
      1.0000000     -1.9958013    0.033519290    -0.12005150   0.0041658219     0.99860461
      1.0000000     -1.9957728    0.033746335    -0.11862105   0.0041944136     0.99859508
      1.0000000     -1.9957680    0.033784466    -0.11891448   0.0042109891     0.99859151
      1.0000000     -1.9957604    0.033844996    -0.11175807   0.0042201006     0.99858872
      1.0000000     -1.9957730    0.033744898    -0.10735151   0.0042105295     0.99859242
      1.0000000     -1.9957796    0.033691607    -0.11110835   0.0042081854     0.99859392
      1.0000000     -1.9957834    0.033661592    -0.11158448   0.0042115019     0.99859400
      1.0000000     -1.9957843    0.033654328    -0.11636220   0.0042161603     0.99859337
      1.0000000     -1.9957769    0.033713571    -0.11472075   0.0042165738     0.99859206
      1.0000000     -1.9957806    0.033684061    -0.10990320   0.0042197545     0.99859215
      1.0000000     -1.9958007    0.033524136    -0.10927234   0.0041983277     0.99859908
      1.0000000     -1.9957987    0.033539736    -0.11303950   0.0041880227     0.99860048
      1.0000000     -1.9957968    0.033555110    -0.11250567   0.0041859455     0.99860050
      1.0000000     -1.9957895    0.033612937    -0.11344595   0.0041945818     0.99859785
      1.0000000     -1.9957877    0.033627568    -0.11716639   0.0042004503     0.99859656
      1.0000000     -1.9957621    0.033831299    -0.11534460   0.0042299102     0.99858737
      1.0000000     -1.9957631    0.033823301    -0.10982415   0.0042380690     0.99858617
      1.0000000     -1.9957849    0.033649494    -0.10378276   0.0042162689     0.99859346
      1.0000000     -1.9957961    0.033560483   -0.099877451   0.0042037840     0.99859741
      1.0000000     -1.9957814    0.033677243   -0.099143066   0.0042196137     0.99859232
      1.0000000     -1.9957823    0.033670518    -0.10529993   0.0042276196     0.99859112
      1.0000000     -1.9957755    0.033724412    -0.10587083   0.0042506695     0.99858614
      1.0000000     -1.9957789    0.033697420    -0.10722704   0.0042345094     0.99858941
      1.0000000     -1.9957648    0.033810124    -0.10440539   0.0042422258     0.99858576
      1.0000000     -1.9957657    0.033802693    -0.10503909   0.0042424354     0.99858588
      1.0000000     -1.9957592    0.033854284    -0.10007865   0.0042500110     0.99858353
      1.0000000     -1.9957332    0.034061286    -0.10442303   0.0042708956     0.99857570
      1.0000000     -1.9957392    0.034013591    -0.10815886   0.0042612081     0.99857832
      1.0000000     -1.9957330    0.034062806    -0.11200392   0.0042504169     0.99857909
      1.0000000     -1.9957414    0.033996584    -0.11472570   0.0042397922     0.99858225
      1.0000000     -1.9957424    0.033988243    -0.11424146   0.0042328633     0.99858359
