T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.2520000     -1.4587358      2.1006091     0.66066829      69.821528     0.66066829
      2.2560000     -1.4512769      2.1728517     0.64841194      65.695940     0.64841194
      2.2600000     -1.4423882      2.2824691     0.62606181      79.328750     0.62606181
      2.2640000     -1.4319757      2.4204565     0.59376926      134.69194     0.59377108
      2.2680000     -1.4187620      2.9125549     0.36015024      478.76248     0.50512099
      2.2720000     -1.4103034      2.7338147    -0.31302524      322.62936     0.49858052
      2.2760000     -1.3986963      2.7370812   -0.054730205      498.20572     0.42613120
      2.2800000     -1.3874797      2.6265481   0.0028178368      545.22597     0.35887847
      2.2840000     -1.3752152      2.3835081   -0.015515565      475.31567     0.26328046
      2.2880000     -1.3660231      2.1983607   -0.033746233      363.59367     0.22554999
      2.2920000     -1.3599240      2.1593778    0.011931223      379.90184     0.24209964
      2.2960000     -1.3518641      2.0450154    0.051494864      358.86961     0.21062289
      2.3000000     -1.3433842      1.8923774  -0.0070081798      256.78150     0.17529971
