T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9948480     0.53434276    -0.99580500     0.97524679     0.99580500
      1.0000000     -1.9959890     0.27960875    -0.99753750     0.48961544     0.99753750
      1.0000000     -1.9963983     0.19394587    -0.99812167     0.32717941     0.99812167
      1.0000000     -1.9966080     0.15120773    -0.99841437     0.24587757     0.99841437
      1.0000000     -1.9967576     0.12529074    -0.99859700     0.19703944     0.99859700
      1.0000000     -1.9968295     0.10823984    -0.99871108     0.16448431     0.99871108
      1.0000000     -1.9969029    0.095955082    -0.99879879     0.14121383     0.99879879
      1.0000000     -1.9969484    0.086817534    -0.99886194     0.12376255     0.99886194
      1.0000000     -1.9969823    0.079627253    -0.99891061     0.11018296     0.99891061
      1.0000000     -1.9969830    0.074112684    -0.99894290    0.099331216     0.99894290
      1.0000000     -1.9970009    0.069595636    -0.99897350    0.090456065     0.99897350
      1.0000000     -1.9970052    0.065808389    -0.99899592    0.083058893     0.99899592
      1.0000000     -1.9970075    0.062607732    -0.99901481    0.076797066     0.99901481
      1.0000000     -1.9970206    0.059829774    -0.99903407    0.071425936     0.99903407
      1.0000000     -1.9970383    0.057326346    -0.99905203    0.066768344     0.99905203
      1.0000000     -1.9970596    0.055084678    -0.99906962    0.062686386     0.99906962
      1.0000000     -1.9970661    0.053202581    -0.99908191    0.059090904     0.99908191
      1.0000000     -1.9970691    0.051635067    -0.99909192    0.055903765     0.99909192
      1.0000000     -1.9970692    0.050186716    -0.99910042    0.053046935     0.99910042
      1.0000000     -1.9970776    0.048824631    -0.99911015    0.050472667     0.99911015
      1.0000000     -1.9970840    0.047563349    -0.99911855    0.048141550     0.99911855
      1.0000000     -1.9970762    0.046560076    -0.99912257    0.046033000     0.99912257
      1.0000000     -1.9970792    0.045541771    -0.99912907    0.044099415     0.99912907
      1.0000000     -1.9970794    0.044645744    -0.99913429    0.042329886     0.99913429
      1.0000000     -1.9970810    0.043817536    -0.99913972    0.040699727     0.99913972
      1.0000000     -1.9970847    0.043010482    -0.99914523    0.039192825     0.99914523
      1.0000000     -1.9970841    0.042328963    -0.99914907    0.037803037     0.99914907
      1.0000000     -1.9970877    0.041629437    -0.99915380    0.036507902     0.99915380
      1.0000000     -1.9970919    0.040998495    -0.99915852    0.035302556     0.99915852
      1.0000000     -1.9970992    0.040369077    -0.99916377    0.034174886     0.99916377
      1.0000000     -1.9970953    0.039850925    -0.99916585    0.033125584     0.99916585
      1.0000000     -1.9971034    0.039292773    -0.99917084    0.032136812     0.99917084
      1.0000000     -1.9971037    0.038820763    -0.99917367    0.031211415     0.99917367
      1.0000000     -1.9971092    0.038359559    -0.99917769    0.030338847     0.99917769
      1.0000000     -1.9971178    0.037858492    -0.99918234    0.029511889     0.99918234
      1.0000000     -1.9971235    0.037414030    -0.99918606    0.028733498     0.99918606
      1.0000000     -1.9971299    0.036984467    -0.99918988    0.027996319     0.99918988
      1.0000000     -1.9971315    0.036625675    -0.99919233    0.027300830     0.99919233
      1.0000000     -1.9971321    0.036301450    -0.99919437    0.026642616     0.99919437
      1.0000000     -1.9971304    0.035989873    -0.99919575    0.026016923     0.99919575
      1.0000000     -1.9971305    0.035689538    -0.99919750    0.025421349     0.99919750
      1.0000000     -1.9971301    0.035384737    -0.99919912    0.024852341     0.99919912
      1.0000000     -1.9971310    0.035114473    -0.99920095    0.024311447     0.99920095
      1.0000000     -1.9971338    0.034840260    -0.99920317    0.023794048     0.99920317
      1.0000000     -1.9971377    0.034560876    -0.99920563    0.023298682     0.99920563
      1.0000000     -1.9971405    0.034290298    -0.99920779    0.022824203     0.99920779
      1.0000000     -1.9971397    0.034066980    -0.99920891    0.022373078     0.99920891
      1.0000000     -1.9971367    0.033877958    -0.99920941    0.021942130     0.99920941
      1.0000000     -1.9971408    0.033640663    -0.99921170    0.021524558     0.99921170
      1.0000000     -1.9971400    0.033431166    -0.99921265    0.021125412     0.99921265
      1.0000000     -1.9971388    0.033238218    -0.99921347    0.020742588     0.99921347
      1.0000000     -1.9971389    0.033065728    -0.99921459    0.020374923     0.99921459
      1.0000000     -1.9971398    0.032866693    -0.99921588    0.020018910     0.99921588
      1.0000000     -1.9971373    0.032726500    -0.99921620    0.019679932     0.99921620
      1.0000000     -1.9971419    0.032516838    -0.99921834    0.019347983     0.99921834
      1.0000000     -1.9971426    0.032349643    -0.99921946    0.019030211     0.99921946
      1.0000000     -1.9971375    0.032226317    -0.99921904    0.018726482     0.99921904
      1.0000000     -1.9971386    0.032066993    -0.99922020    0.018430091     0.99922020
      1.0000000     -1.9971377    0.031927252    -0.99922082    0.018144763     0.99922082
      1.0000000     -1.9971390    0.031778595    -0.99922194    0.017868233     0.99922194
      1.0000000     -1.9971384    0.031658965    -0.99922254    0.017602452     0.99922254
      1.0000000     -1.9971370    0.031536988    -0.99922298    0.017344402     0.99922298
      1.0000000     -1.9971357    0.031421485    -0.99922344    0.017094658     0.99922344
      1.0000000     -1.9971364    0.031298209    -0.99922439    0.016851778     0.99922439
      1.0000000     -1.9971343    0.031195272    -0.99922455    0.016618089     0.99922455
      1.0000000     -1.9971309    0.031120080    -0.99922435    0.016393013     0.99922435
      1.0000000     -1.9971311    0.031001550    -0.99922507    0.016171438     0.99922507
      1.0000000     -1.9971341    0.030859561    -0.99922650    0.015954503     0.99922650
      1.0000000     -1.9971342    0.030757856    -0.99922709    0.015746723     0.99922709
      1.0000000     -1.9971335    0.030664830    -0.99922751    0.015544878     0.99922751
      1.0000000     -1.9971361    0.030544233    -0.99922875    0.015347081     0.99922875
      1.0000000     -1.9971362    0.030444026    -0.99922937    0.015155464     0.99922937
      1.0000000     -1.9971378    0.030344145    -0.99923034    0.014968914     0.99923034
      1.0000000     -1.9971369    0.030247856    -0.99923067    0.014787482     0.99923067
      1.0000000     -1.9971365    0.030163827    -0.99923103    0.014612316     0.99923103
      1.0000000     -1.9971379    0.030060311    -0.99923187    0.014439744     0.99923187
      1.0000000     -1.9971392    0.029954414    -0.99923273    0.014271105     0.99923273
      1.0000000     -1.9971378    0.029890439    -0.99923290    0.014109237     0.99923290
      1.0000000     -1.9971381    0.029803677    -0.99923351    0.013949679     0.99923351
      1.0000000     -1.9971383    0.029717448    -0.99923403    0.013794454     0.99923403
      1.0000000     -1.9971392    0.029630274    -0.99923471    0.013642831     0.99923471
      1.0000000     -1.9971390    0.029555258    -0.99923510    0.013495628     0.99923510
      1.0000000     -1.9971372    0.029502643    -0.99923503    0.013353555     0.99923503
      1.0000000     -1.9971338    0.029466348    -0.99923457    0.013215799     0.99923457
      1.0000000     -1.9971351    0.029388502    -0.99923531    0.013078427     0.99923531
      1.0000000     -1.9971343    0.029325357    -0.99923552    0.012944913     0.99923552
      1.0000000     -1.9971360    0.029240138    -0.99923634    0.012812924     0.99923634
      1.0000000     -1.9971359    0.029178163    -0.99923667    0.012685499     0.99923667
      1.0000000     -1.9971374    0.029099715    -0.99923746    0.012559638     0.99923746
      1.0000000     -1.9971370    0.029045064    -0.99923771    0.012438196     0.99923771
      1.0000000     -1.9971374    0.028984559    -0.99923812    0.012319091     0.99923812
      1.0000000     -1.9971382    0.028920397    -0.99923870    0.012201876     0.99923870
      1.0000000     -1.9971401    0.028846206    -0.99923951    0.012086824     0.99923951
      1.0000000     -1.9971405    0.028784836    -0.99923995    0.011974644     0.99923995
      1.0000000     -1.9971427    0.028716067    -0.99924083    0.011864399     0.99924083
      1.0000000     -1.9971431    0.028658508    -0.99924127    0.011756989     0.99924127
      1.0000000     -1.9971428    0.028601548    -0.99924156    0.011651287     0.99924156
      1.0000000     -1.9971427    0.028556851    -0.99924186    0.011548795     0.99924186
      1.0000000     -1.9971421    0.028511153    -0.99924195    0.011448925     0.99924195
      1.0000000     -1.9971433    0.028451032    -0.99924261    0.011349184     0.99924261
      1.0000000     -1.9971431    0.028411354    -0.99924282    0.011253326     0.99924282
      1.0000000     -1.9971460    0.028338344    -0.99924382    0.011157011     0.99924382
      1.0000000     -1.9971466    0.028282277    -0.99924423    0.011063585     0.99924423
      1.0000000     -1.9971468    0.028235152    -0.99924451    0.010972636     0.99924451
      1.0000000     -1.9971474    0.028182686    -0.99924496    0.010882469     0.99924496
      1.0000000     -1.9971490    0.028119975    -0.99924567    0.010793175     0.99924567
      1.0000000     -1.9971496    0.028075547    -0.99924604    0.010707189     0.99924604
      1.0000000     -1.9971504    0.028030225    -0.99924644    0.010622973     0.99924644
      1.0000000     -1.9971517    0.027975157    -0.99924702    0.010539219     0.99924702
      1.0000000     -1.9971533    0.027924162    -0.99924765    0.010457063     0.99924765
      1.0000000     -1.9971518    0.027895606    -0.99924746    0.010378446     0.99924746
      1.0000000     -1.9971518    0.027860208    -0.99924771    0.010300121     0.99924771
      1.0000000     -1.9971538    0.027807165    -0.99924843    0.010221977     0.99924843
      1.0000000     -1.9971546    0.027765011    -0.99924887    0.010145718     0.99924887
      1.0000000     -1.9971542    0.027728474    -0.99924903    0.010071012     0.99924903
      1.0000000     -1.9971540    0.027696020    -0.99924915   0.0099985049     0.99924915
      1.0000000     -1.9971554    0.027651402    -0.99924972   0.0099259188     0.99924972
      1.0000000     -1.9971561    0.027609652    -0.99925014   0.0098545271     0.99925014
      1.0000000     -1.9971557    0.027577750    -0.99925026   0.0097849101     0.99925026
      1.0000000     -1.9971552    0.027545069    -0.99925035   0.0097165041     0.99925035
      1.0000000     -1.9971559    0.027505068    -0.99925074   0.0096486642     0.99925074
      1.0000000     -1.9971565    0.027467222    -0.99925108   0.0095823102     0.99925108
      1.0000000     -1.9971559    0.027440012    -0.99925113   0.0095173036     0.99925113
      1.0000000     -1.9971567    0.027394386    -0.99925156   0.0094520781     0.99925156
      1.0000000     -1.9971563    0.027368585    -0.99925166   0.0093892245     0.99925166
      1.0000000     -1.9971564    0.027336426    -0.99925187   0.0093270962     0.99925187
      1.0000000     -1.9971585    0.027284056    -0.99925261   0.0092644926     0.99925261
      1.0000000     -1.9971574    0.027265682    -0.99925247   0.0092053327     0.99925247
      1.0000000     -1.9971580    0.027227744    -0.99925283   0.0091454487     0.99925283
      1.0000000     -1.9971592    0.027189841    -0.99925331   0.0090865441     0.99925331
      1.0000000     -1.9971591    0.027160193    -0.99925344   0.0090294327     0.99925344
      1.0000000     -1.9971590    0.027129314    -0.99925357   0.0089731207     0.99925357
      1.0000000     -1.9971600    0.027091689    -0.99925398   0.0089167982     0.99925398
      1.0000000     -1.9971602    0.027057297    -0.99925422   0.0088612287     0.99925422
      1.0000000     -1.9971622    0.027010155    -0.99925491   0.0088058533     0.99925491
      1.0000000     -1.9971617    0.026986724    -0.99925490   0.0087530316     0.99925490
      1.0000000     -1.9971608    0.026969569    -0.99925482   0.0087012578     0.99925482
      1.0000000     -1.9971611    0.026936524    -0.99925504   0.0086490986     0.99925504
      1.0000000     -1.9971615    0.026904891    -0.99925530   0.0085977866     0.99925530
      1.0000000     -1.9971623    0.026873244    -0.99925565   0.0085471394     0.99925565
      1.0000000     -1.9971643    0.026838432    -0.99925628   0.0084971332     0.99925628
      1.0000000     -1.9971648    0.026808004    -0.99925654   0.0084479646     0.99925654
      1.0000000     -1.9971665    0.026769946    -0.99925710   0.0083991826     0.99925710
      1.0000000     -1.9971664    0.026741866    -0.99925724   0.0083513346     0.99925724
      1.0000000     -1.9971664    0.026715761    -0.99925735   0.0083043598     0.99925735
      1.0000000     -1.9971669    0.026688445    -0.99925758   0.0082585086     0.99925758
      1.0000000     -1.9971663    0.026672254    -0.99925757   0.0082134791     0.99925757
      1.0000000     -1.9971653    0.026664437    -0.99925741   0.0081697274     0.99925741
      1.0000000     -1.9971638    0.026650780    -0.99925718   0.0081257982     0.99925718
      1.0000000     -1.9971646    0.026618575    -0.99925753   0.0080814487     0.99925753
      1.0000000     -1.9971658    0.026587450    -0.99925795   0.0080376370     0.99925795
      1.0000000     -1.9971668    0.026562787    -0.99925835   0.0079947050     0.99925835
      1.0000000     -1.9971663    0.026550655    -0.99925835   0.0079533002     0.99925835
      1.0000000     -1.9971665    0.026527991    -0.99925853   0.0079117962     0.99925853
      1.0000000     -1.9971675    0.026499718    -0.99925886   0.0078705582     0.99925886
      1.0000000     -1.9971668    0.026487956    -0.99925882   0.0078308170     0.99925882
      1.0000000     -1.9971675    0.026459344    -0.99925913   0.0077902558     0.99925913
