T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9971567    0.026161048     0.99927402   0.0022646665     0.99927402
      1.0000000     -1.9971565    0.026131482     0.99927404   0.0022559548     0.99927404
      1.0000000     -1.9971576    0.026081060     0.99927440   0.0022460713     0.99927440
      1.0000000     -1.9971549    0.026070031     0.99927364   0.0022402034     0.99927364
      1.0000000     -1.9971584    0.026009547     0.99927457   0.0022303632     0.99927457
      1.0000000     -1.9971568    0.025999856     0.99927413   0.0022243352     0.99927413
      1.0000000     -1.9971566    0.025974423     0.99927408   0.0022170586     0.99927408
      1.0000000     -1.9971552    0.025958746     0.99927372   0.0022108184     0.99927372
      1.0000000     -1.9971566    0.025918247     0.99927411   0.0022025675     0.99927411
      1.0000000     -1.9971570    0.025893313     0.99927419   0.0021960626     0.99927419
      1.0000000     -1.9971588    0.025849064     0.99927468   0.0021880591     0.99927468
      1.0000000     -1.9971611    0.025801728     0.99927524   0.0021803643     0.99927524
      1.0000000     -1.9971606    0.025782557     0.99927514   0.0021741650     0.99927514
      1.0000000     -1.9971591    0.025760393     0.99927480   0.0021676774     0.99927480
      1.0000000     -1.9971607    0.025732603     0.99927520   0.0021613100     0.99927520
      1.0000000     -1.9971614    0.025702762     0.99927535   0.0021550360     0.99927535
      1.0000000     -1.9971614    0.025668991     0.99927543   0.0021480606     0.99927543
      1.0000000     -1.9971624    0.025632930     0.99927568   0.0021412399     0.99927568
      1.0000000     -1.9971628    0.025609530     0.99927579   0.0021354810     0.99927579
      1.0000000     -1.9971621    0.025588093     0.99927560   0.0021299005     0.99927560
      1.0000000     -1.9971624    0.025561849     0.99927567   0.0021241833     0.99927567
      1.0000000     -1.9971648    0.025522890     0.99927636   0.0021171534     0.99927636
      1.0000000     -1.9971653    0.025494563     0.99927650   0.0021112769     0.99927650
      1.0000000     -1.9971663    0.025471672     0.99927677   0.0021058630     0.99927677
      1.0000000     -1.9971672    0.025440572     0.99927699   0.0021000697     0.99927699
      1.0000000     -1.9971671    0.025409416     0.99927705   0.0020937674     0.99927705
      1.0000000     -1.9971677    0.025385361     0.99927721   0.0020885954     0.99927721
      1.0000000     -1.9971682    0.025357338     0.99927737   0.0020829847     0.99927737
      1.0000000     -1.9971682    0.025338206     0.99927742   0.0020779020     0.99927742
      1.0000000     -1.9971686    0.025311667     0.99927753   0.0020725527     0.99927753
      1.0000000     -1.9971685    0.025292907     0.99927749   0.0020680178     0.99927749
      1.0000000     -1.9971655    0.025304682     0.99927670   0.0020657287     0.99927670
      1.0000000     -1.9971647    0.025296916     0.99927649   0.0020621679     0.99927649
      1.0000000     -1.9971656    0.025274321     0.99927670   0.0020575558     0.99927670
      1.0000000     -1.9971658    0.025251421     0.99927677   0.0020529289     0.99927677
      1.0000000     -1.9971655    0.025240346     0.99927668   0.0020490621     0.99927668
      1.0000000     -1.9971649    0.025229546     0.99927653   0.0020452741     0.99927653
      1.0000000     -1.9971652    0.025208615     0.99927660   0.0020409306     0.99927660
      1.0000000     -1.9971664    0.025185914     0.99927693   0.0020364385     0.99927693
      1.0000000     -1.9971673    0.025160765     0.99927716   0.0020319576     0.99927716
      1.0000000     -1.9971665    0.025159556     0.99927693   0.0020291127     0.99927693
      1.0000000     -1.9971660    0.025151145     0.99927680   0.0020258103     0.99927680
      1.0000000     -1.9971656    0.025136258     0.99927672   0.0020219344     0.99927672
      1.0000000     -1.9971651    0.025123962     0.99927663   0.0020182592     0.99927663
      1.0000000     -1.9971668    0.025097710     0.99927713   0.0020134188     0.99927713
      1.0000000     -1.9971657    0.025096792     0.99927684   0.0020108074     0.99927684
      1.0000000     -1.9971638    0.025101789     0.99927633   0.0020086446     0.99927633
      1.0000000     -1.9971632    0.025085201     0.99927618   0.0020049550     0.99927618
      1.0000000     -1.9971619    0.025079171     0.99927586   0.0020020632     0.99927586
      1.0000000     -1.9971605    0.025075931     0.99927554   0.0019991797     0.99927554
      1.0000000     -1.9971607    0.025064251     0.99927556   0.0019962235     0.99927556
      1.0000000     -1.9971595    0.025058363     0.99927527   0.0019934396     0.99927527
      1.0000000     -1.9971606    0.025037395     0.99927553   0.0019896966     0.99927553
      1.0000000     -1.9971596    0.025034397     0.99927528   0.0019872036     0.99927528
      1.0000000     -1.9971597    0.025027611     0.99927530   0.0019845349     0.99927530
      1.0000000     -1.9971600    0.025019421     0.99927533   0.0019820081     0.99927533
      1.0000000     -1.9971591    0.025018179     0.99927511   0.0019799683     0.99927511
      1.0000000     -1.9971585    0.025010361     0.99927497   0.0019772039     0.99927497
      1.0000000     -1.9971584    0.025000719     0.99927494   0.0019744623     0.99927494
