T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.4000000     -1.2268400      1.3824663   -0.035913500      8.9751198     0.43126050
      2.4000000     -1.2321515      1.4712886    -0.11133675      9.5136850     0.43821425
      2.4000000     -1.2359507      1.4636771    -0.11383633      9.4259629     0.44524367
      2.4000000     -1.2355897      1.4563380    -0.11892912      9.3830237     0.44691987
      2.4000000     -1.2387026      1.4453269    -0.10246450      9.3139162     0.45488590
      2.4000000     -1.2404590      1.4581277    -0.10809325      9.2702362     0.45912508
      2.4000000     -1.2414869      1.4607881   -0.062366857      9.3061133     0.45992171
      2.4000000     -1.2425365      1.4583242   -0.030884625      9.1627129     0.46275325
      2.4000000     -1.2406276      1.4465299   -0.033143056      9.0546779     0.45987094
      2.4000000     -1.2394363      1.4418588   -0.028263200      9.1104050     0.45630110
      2.4000000     -1.2389031      1.4280092   -0.027819273      8.9691240     0.45633236
      2.4000000     -1.2379985      1.4284960   -0.027694292      8.9710003     0.45517279
      2.4000000     -1.2379273      1.4240910   -0.043990462      8.9669841     0.45507738
      2.4000000     -1.2373696      1.4228872   -0.024939786      8.9762054     0.45367493
      2.4000000     -1.2367021      1.4242634   -0.013645900      9.0190330     0.45214090
      2.4000000     -1.2373555      1.4263301  -0.0030490625      9.0375157     0.45313737
      2.4000000     -1.2365752      1.4217927  -0.0033205882      9.0374936     0.45104435
      2.4000000     -1.2364988      1.4164256  0.00029238889      8.9959321     0.45171322
      2.4000000     -1.2367277      1.4162659   0.0019928684      8.9757644     0.45226461
      2.4000000     -1.2376485      1.4175223   0.0058938000      8.9406494     0.45433435
      2.4000000     -1.2367470      1.4111740   0.0070500238      8.8998294     0.45299193
      2.4000000     -1.2367939      1.4107605   0.0016812955      8.8875041     0.45338398
      2.4000000     -1.2367851      1.4063004  -0.0041860000      8.8424796     0.45386113
      2.4000000     -1.2371635      1.4071199   0.0070290417      8.8366995     0.45463429
      2.4000000     -1.2379912      1.4126097    0.010639860      8.8425218     0.45633894
      2.4000000     -1.2374699      1.4088038   0.0051844615      8.8552534     0.45505858
      2.4000000     -1.2364020      1.4056692   0.0050054074      8.8389367     0.45319500
      2.4000000     -1.2367070      1.4012657   0.0063682321      8.7886463     0.45411652
      2.4000000     -1.2364572      1.3985791   0.0059396379      8.7905097     0.45356643
      2.4000000     -1.2362082      1.3963024   0.0032089667      8.7909459     0.45287280
      2.4000000     -1.2361878      1.3962724   0.0011273387      8.7942661     0.45300915
      2.4000000     -1.2356875      1.3941994   0.0028663125      8.8168479     0.45144469
      2.4000000     -1.2359758      1.3991383   0.0020275152      8.8422722     0.45168064
      2.4000000     -1.2363023      1.4026225   0.0070882500      8.8532980     0.45236537
      2.4000000     -1.2362960      1.4014765   0.0027894143      8.8462421     0.45243410
      2.4000000     -1.2363115      1.4034892   0.0021001806      8.8712553     0.45214721
      2.4000000     -1.2362477      1.4033453  -0.0012872432      8.8541831     0.45234203
      2.4000000     -1.2353629      1.4024488 -0.00013161842      8.8595843     0.45070307
      2.4000000     -1.2352675      1.3993020  -0.0011859103      8.8371633     0.45076650
      2.4000000     -1.2355415      1.4020073  -0.0068045375      8.8624648     0.45084881
      2.4000000     -1.2355440      1.4029354  -0.0068855366      8.8670161     0.45071539
      2.4000000     -1.2354600      1.4045485  -0.0069710833      8.8743705     0.45037811
      2.4000000     -1.2354951      1.4041812  -0.0066194767      8.8667706     0.45054983
      2.4000000     -1.2353166      1.4027544  -0.0053404318      8.8716630     0.44999098
      2.4000000     -1.2354644      1.4056913  -0.0074359222      8.8861503     0.45025546
      2.4000000     -1.2353295      1.4068772  -0.0067202717      8.9079086     0.44979627
      2.4000000     -1.2353692      1.4065697  -0.0092741596      8.8922995     0.45013290
      2.4000000     -1.2355407      1.4053127  -0.0064528750      8.8759638     0.45055810
      2.4000000     -1.2354509      1.4035086  -0.0074386633      8.8658051     0.45048348
      2.4000000     -1.2355060      1.4057075  -0.0098462700      8.8716555     0.45067065
      2.4000000     -1.2355519      1.4074536  -0.0091148627      8.8871861     0.45057312
